Country Name,CO2 per capita 1960,CO2 per capita 1961,CO2 per capita 1962,CO2 per capita 1963,CO2 per capita 1964,CO2 per capita 1965,CO2 per capita 1966,CO2 per capita 1967,CO2 per capita 1968,CO2 per capita 1969,CO2 per capita 1970,CO2 per capita 1971,CO2 per capita 1972,CO2 per capita 1973,CO2 per capita 1974,CO2 per capita 1975,CO2 per capita 1976,CO2 per capita 1977,CO2 per capita 1978,CO2 per capita 1979,CO2 per capita 1980,CO2 per capita 1981,CO2 per capita 1982,CO2 per capita 1983,CO2 per capita 1984,CO2 per capita 1985,CO2 per capita 1986,CO2 per capita 1987,CO2 per capita 1988,CO2 per capita 1989,CO2 per capita 1990,CO2 per capita 1991,CO2 per capita 1992,CO2 per capita 1993,CO2 per capita 1994,CO2 per capita 1995, CO2 per capita 1996,CO2 per capita 1997,CO2 per capita 1998,CO2 per capita 1999,CO2 per capita 2000,CO2 per capita 2001,CO2 per capita 2002,CO2 per capita 2003,CO2 per capita 2004,CO2 per capita 2005,CO2 per capita 2006,CO2 per capita 2007,CO2 per capita 2008,CO2 per capita 2009,CO2 per capita 2010,CO2 per capita 2011,CO2 per capita 2012,CO2 per capita 2013,CO2 per capita 2014,CO2 per capita 2015,CO2 per capita 2016,CO2 per capita 2017,CO2 per capita 2018
Afghanistan,0.046,0.054,0.074,0.074,0.086,0.101,0.107,0.123,0.115,0.087,0.150,0.165,0.130,0.135,0.155,0.168,0.154,0.182,0.162,0.167,0.132,0.151,0.163,0.201,0.232,0.294,0.268,0.269,0.247,0.234,0.238,0.206,0.099,0.086,0.076,0.069,0.063,0.057,0.053,0.041,0.037,0.037,0.049,0.057,0.046,0.064,0.073,0.087,0.158,0.211,0.297,0.407,0.335,0.264,0.234,0.232,0.209,0.203,0.200
Angola,0.101,0.082,0.211,0.203,0.214,0.206,0.269,0.172,0.290,0.480,0.608,0.565,0.721,0.751,0.721,0.629,0.451,0.469,0.695,0.683,0.641,0.611,0.519,0.551,0.521,0.472,0.452,0.544,0.464,0.437,0.534,0.533,0.503,0.528,0.495,0.773,0.792,0.789,0.740,0.797,0.754,0.762,0.777,0.994,1.028,0.937,1.009,1.124,1.156,1.206,1.222,1.216,1.205,1.262,1.285,1.261,1.228,1.034,0.887
Albania,1.258,1.374,1.440,1.182,1.112,1.166,1.333,1.364,1.520,1.559,1.753,1.989,2.516,2.304,1.849,1.911,2.014,2.276,2.531,2.898,1.935,2.693,2.625,2.683,2.694,2.658,2.665,2.414,2.332,2.783,1.841,1.258,0.690,0.641,0.667,0.612,0.622,0.470,0.575,0.955,1.026,1.052,1.229,1.352,1.417,1.351,1.353,1.421,1.415,1.476,1.572,1.735,1.579,1.655,1.807,1.760,1.714,1.949,1.940
United Arab Emirates,0.119,0.109,0.164,0.176,0.133,0.147,0.160,5.400,6.807,101.053,65.018,76.350,70.865,77.619,67.016,56.667,62.157,52.745,53.638,39.289,36.199,33.610,31.655,28.770,35.855,36.545,32.657,31.100,29.727,31.575,30.299,31.748,29.052,28.599,29.764,30.077,29.857,30.490,29.806,28.995,26.975,29.146,28.205,27.891,27.032,25.343,22.916,21.348,22.033,19.853,19.043,18.590,19.223,20.015,19.952,20.948,21.308,21.951,20.797
Argentina,2.383,2.459,2.538,2.331,2.553,2.656,2.807,2.871,2.982,3.288,3.465,3.666,3.657,3.754,3.753,3.670,3.799,3.780,3.793,4.030,3.898,3.601,3.592,3.596,3.582,3.329,3.395,3.686,3.836,3.642,3.061,3.184,3.202,3.268,3.308,3.268,3.591,3.571,3.693,3.680,3.578,3.350,3.117,3.370,3.685,3.762,3.954,4.123,4.195,3.889,4.122,4.296,4.278,4.360,4.216,4.314,4.228,4.089,3.987
Armenia,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.610,5.903,3.163,1.499,0.834,1.091,0.811,1.066,1.116,1.007,1.160,1.180,1.028,1.160,1.253,1.496,1.518,1.773,1.957,1.562,1.508,1.717,1.983,1.898,1.882,1.825,1.727,1.807,1.880
Australia,8.583,8.642,8.836,9.226,9.759,10.622,10.328,10.956,11.210,11.601,11.803,11.809,11.952,12.780,12.560,12.660,12.417,13.232,14.070,14.129,15.025,15.433,15.425,14.640,15.221,15.308,14.981,15.747,15.796,16.520,15.447,15.315,15.339,15.416,15.607,15.992,16.361,16.567,17.512,17.597,17.690,17.770,17.957,17.692,18.148,18.118,18.121,18.503,18.283,18.207,17.581,17.268,16.969,16.399,15.756,15.786,15.872,15.739,15.476
Austria,4.373,4.496,4.755,5.155,5.391,5.252,5.362,5.418,5.711,6.006,6.789,6.954,7.449,7.931,7.563,7.177,7.721,7.428,7.601,8.159,6.928,7.416,7.112,6.874,7.214,7.231,7.144,7.623,7.032,7.102,7.589,8.049,7.355,7.311,7.345,7.697,8.154,8.060,8.107,7.889,7.930,8.444,8.583,9.168,9.276,9.266,8.962,8.588,8.500,7.721,8.365,8.135,7.724,7.754,7.253,7.307,7.256,7.483,7.147
Azerbaijan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.035,9.219,6.044,7.141,6.263,5.956,5.202,5.036,4.978,4.858,4.971,4.774,4.666,4.170,4.104,4.367,4.027,3.206,3.375,2.810,2.667,3.113,3.309,3.333,3.422,3.334,3.347,3.244,3.221
Burundi,0.000,0.000,0.015,0.016,0.016,0.012,0.015,0.015,0.016,0.021,0.018,0.021,0.021,0.020,0.025,0.021,0.023,0.026,0.026,0.027,0.035,0.037,0.036,0.046,0.048,0.049,0.048,0.050,0.044,0.050,0.035,0.041,0.035,0.036,0.036,0.037,0.036,0.038,0.037,0.037,0.041,0.032,0.033,0.025,0.022,0.022,0.025,0.024,0.025,0.024,0.037,0.041,0.042,0.043,0.040,0.040,0.044,0.053,0.053
