Country Name,CO2 in 2018
Aruba,
Afghanistan,0.200151071
Angola,0.887380364
Albania,1.939731563
Andorra,5.97340536
United Arab Emirates,20.7974984
Argentina,3.987234198
Armenia,1.880246268
American Samoa,
Antigua and Barbuda,5.504663385
Australia,15.47551649
Austria,7.146637625
Azerbaijan,3.221402183
Burundi,0.05279463
Belgium,8.179711061
Benin,0.688722324
Burkina Faso,0.216186485
Bangladesh,0.512837314
Bulgaria,5.854773434
Bahrain,19.59297584
"Bahamas, The",5.86046391
Bosnia and Herzegovina,6.781131607
Belarus,6.2540208
Belize,1.775127848
Bermuda,
Bolivia,2.000327663
Brazil,2.041874199
Barbados,4.360870779
Brunei Darussalam,16.64490862
Bhutan,1.829277992
Botswana,3.64230522
Central African Republic,0.070718706
Canada,15.49702527
Switzerland,4.401991044
Channel Islands,
Chile,4.624872245
China,7.405211347
Cote d'Ivoire,0.395305384
Cameroon,0.341842908
"Congo, Dem. Rep.",0.026169263
"Congo, Rep.",0.613992586
Colombia,1.600650618
Comoros,0.312379103
Cabo Verde,1.140200528
Costa Rica,1.652184053
Caribbean small states,5.017034408
Cuba,2.202300094
Curacao,
Cayman Islands,
Cyprus,6.079400502
Czech Republic,9.640704998
Germany,8.558389812
Djibouti,0.510989933
Dominica,2.513053919
Denmark,5.761494164
Dominican Republic,2.363757648
Algeria,3.591657418
Ecuador,2.3138123
"Egypt, Arab Rep.",2.502042142
Eritrea,0.231696216
Spain,5.5203504
Estonia,12.103085
Ethiopia,0.149050931
Finland,8.04275205
Fiji,2.150561976
France,4.619241205
Faroe Islands,
"Micronesia, Fed. Sts.",1.598011364
Gabon,2.175272204
United Kingdom,5.398708138
Georgia,2.538541691
Ghana,0.541201382
Gibraltar,
Guinea,0.251323233
"Gambia, The",0.249989913
Guinea-Bissau,0.165394728
Equatorial Guinea,5.095625096
Greece,6.08317505
Grenada,2.691814193
Greenland,
Guatemala,1.113969273
Guam,
Guyana,3.13219265
"Hong Kong SAR, China",
Honduras,1.019032757
Croatia,4.055928762
Haiti,0.299374738
Hungary,4.745506244
Indonesia,2.178461553
Isle of Man,
India,1.799825446
Ireland,7.624325193
"Iran, Islamic Rep.",7.693012599
Iraq,4.895195361
Iceland,6.237224322
Israel,6.976403837
Italy,5.376374339
Jamaica,2.899634155
Jordan,2.478595273
Japan,8.74225771
Kazakhstan,12.06196914
Kenya,0.358028408
Kyrgyz Republic,1.73973556
Cambodia,0.686777895
Kiribati,0.690595812
St. Kitts and Nevis,4.958236393
"Korea, Rep.",12.22459136
Kuwait,21.62272431
Lao PDR,2.660908493
Lebanon,4.039707217
Liberia,0.273917114
Libya,8.825249137
St. Lucia,2.14415306
Liechtenstein,3.692177857
Sri Lanka,0.99815413
Lesotho,1.218975994
Lithuania,4.137005929
Luxembourg,15.33020808
Latvia,3.959165078
"Macao SAR, China",
St. Martin (French part),
Morocco,1.850726784
Monaco,
Moldova,3.171832063
Madagascar,0.128320761
Maldives,3.703674976
Mexico,3.741477725
Marshall Islands,3.252756283
North Macedonia,3.538239148
Mali,0.294583928
Malta,3.198316241
Myanmar,0.605492803
Montenegro,4.049968902
Mongolia,6.725098053
Northern Mariana Islands,
Mozambique,0.225115201
Mauritania,0.908407126
Mauritius,3.264040313
Malawi,0.086533726
Malaysia,7.600220413
Namibia,1.735898378
New Caledonia,
Niger,0.102037038
Nigeria,0.667110199
Nicaragua,0.805815233
Netherlands,8.772823734
Norway,7.031361189
Nepal,0.428179218
Nauru,6.555534744
New Zealand,6.572664572
Oman,15.19212436
Pakistan,0.981820105
Panama,2.42765632
Peru,1.69681923
Philippines,1.33369096
Palau,16.19116744
Papua New Guinea,0.866804457
Poland,8.235472255
Puerto Rico,
"Korea, Dem. People's Rep.",0.709208588
Portugal,4.840612761
Paraguay,1.210453778
French Polynesia,
Qatar,32.41563917
Romania,3.845132759
Russian Federation,11.12661837
Rwanda,0.087790824
South Asia,1.526651238
Saudi Arabia,15.26878053
Sudan,0.483235878
Senegal,0.621912357
Singapore,8.399134832
Solomon Islands,0.566740598
Sierra Leone,0.133330736
El Salvador,1.060625411
San Marino,
Somalia,0.04597479
Serbia,6.521922194
South Sudan,0.125729734
Sao Tome and Principe,0.663406498
Suriname,3.611192614
Slovak Republic,6.058635474
Slovenia,6.774695332
Sweden,3.538009127
Eswatini,0.959275668
Sint Maarten (Dutch part),
Seychelles,6.407474008
Syrian Arab Republic,1.647087511
Turks and Caicos Islands,
Chad,0.069131598
Togo,0.286471389
Thailand,3.714039204
Tajikistan,0.80541954
Turkmenistan,12.25964817
Timor-Leste,0.504741813
Tonga,1.841103111
Trinidad and Tobago,12.77844012
Tunisia,2.592258865
Turkey,5.01541837
Tuvalu,0.86918731
Tanzania,0.205634733
Uganda,0.143462178
Ukraine,4.154180631
Uruguay,1.890244079
United States,15.24087458
Uzbekistan,3.401191282
St. Vincent and the Grenadines,2.540604301
"Venezuela, RB",4.782754887
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,2.698805922
Vanuatu,0.615016657
Samoa,1.631587535
Kosovo,
"Yemen, Rep.",0.326681763
South Africa,7.496644895
Zambia,0.446065443
Zimbabwe,0.849792905
